Abbotts Run Brook,Cumberland
Adamsville Brook and Pond,Tiverton & Little Compton
Aldrich Brook (Butterfly Pond),Lincoln
Alton Pond,Richmond & Hopkinton
Ashaway River,Hopkinton
Ashville Pond,Hopkinton
Barber Pond,South Kingstown
Beach Pond,Exeter
Beaver River,Richmond
Big River,West Greenwich
Blackstone River,Cumberland & Lincoln
Branch River,Burrillville
Brandy Brook,Glocester
Breakheart Brook,Exeter
Breakheart Pond,Exeter & West Greenwich
Brickyard Pond,Barrington
Browning Mill Pond,Exeter
Brushy Brook,Hopkinton
Bucks Horn Brook,Coventry
Carbuncle Pond,Coventry
California Jim's,South Kingstown
Carolina Trout Pond,Richmond
Cass Pond,Woonsocket
Chepachet River,Glocester & Burrillville
Chickasheen Brook,South Kingstown
Clear River,Burrillville
Curran (J.L. Reservoir),Cranston
Deep Pond,Exeter (Arcadia) 
Dexter Pond,Scituate
Dolly Cole Brook,Foster
Dunderry Brook(incl. Wigwam Pond),Little Compton
Eight Rod Farm Pond,Tiverton
Falls River,Exeter & West Greenwich
Flat River,Exeter
Foster Green Acres Pond,Foster
Frenchtown Park Pond,East Greenwich
Frosty Hollow Pond,Exeter
Geneva Brook & Pond,North Providence
Harris River,Woonsocket
Hopkins Mill Pond,Foster
Hunt River,East Greenwich & No. Kingstown
Lapham Pond,Burrillville
Lloyd Kenney Pond,Hopkinton
Log House Brook,Hopkinton
Meadow Brook,Richmond
Meadow Brook &Pond,Richmond
Melville Pond,Portsmouth
Memorial Park Pond,Lincoln
Meshanicut Brook,Cranston
Moosup River,Coventry
Mowry A.L. Pond,Smithfield
Olney Pond Lincoln Woods,Lincoln
Parris Brook,Exeter
Pawcatuck River,Hopkinton Richmond Charlestown & Westerly 
Pawtuxet River (North branch), Scituate & Cranston
Pawtuxet River (South branch) ,Coventry & West Warwick
Peck Pond,Burrillville
Peeptoad Brook,Glocester
Ponaganset River,Foster
Pondarosa Park Pond,Little Compton
Roaring Brook & Pond, Exeter
Round Top Brook,Burrillville
Round Top Pond,Burrillville
Saint Mary's Pond,Portsmouth
Saugatucket River,South Kingstown
Seidel's Pond,Cranston
Shippee Saw Mill Pond,Foster
Silver Spring Lake,North Kingstown
Silvy's Brook,Cumberland
Silvy's Pond,Cumberland
Simmons Mill Pond,Little Compton
Slater Park Pond,Pawtucket
Spring Grove Pond,Glocester
Stafford Pond,Tiverton
Sylvester's Pond,Woonsocket
Tarbox Pond,West Greenwich
Tarkiln Pond,Burrillville & North Smithfield
Tiogue Lake,Coventry
Tiverton Trout Pond,Tiverton
Tucker Pond,South Kingstown
Upper Rochambeau Pond,Lincoln
Wallum Lake,Burrillville
Watchaug Pond,Charlestown
Willett Pond,East Providence
Winsor Brook,Foster
Wood River,"Exeter, Hopkinton & Richmond"
Woonasquatucket River,Smithfield
Wyoming Pond,Richmond & Hopkinton
